"state","sfips","stusps","zoom"
"state","sfips","stusps","zoom"
"Alabama","01"," AL","7"
"Alaska","02"," AK","7"
"Arizona","04"," AZ","7"
"Arkansas","05"," AR","7"
"California","06"," CA","7"
"Colorado","08"," CO","7"
"Connecticut","09"," CT","7"
"Delaware","10"," DE","7"
"District of Columbia","11"," DC","7"
"Florida","12"," FL","7"
"Georgia","13"," GA","7"
"Hawaii","15"," HI","7"
"Idaho","16"," ID","7"
"Illinois","17"," IL","7"
"Indiana","18"," IN","7"
"Iowa","19"," IA","7"
"Kansas","20"," KS","7"
"Kentucky","21"," KY","7"
"Louisiana","22"," LA","7"
"Maine","23"," ME","7"
"Maryland","24"," MD","7"
"Massachusetts","25"," MA","7"
"Michigan","26"," MI","7"
"Minnesota","27"," MN","7"
"Mississippi","28"," MS","7"
"Missouri","29"," MO","7"
"Montana","30"," MT","7"
"Nebraska","31"," NE","7"
"Nevada","32"," NV","7"
"New Hampshire","33"," NH","7"
"New Jersey","34"," NJ","7"
"New Mexico","35"," NM","7"
"New York","36"," NY","7"
"North Carolina","37"," NC","7"
"North Dakota","38"," ND","7"
"Ohio","39"," OH","7"
"Oklahoma","40"," OK","7"
"Oregon","41"," OR","7"
"Pennsylvania","42"," PA","7"
"Rhode Island","44"," RI","7"
"South Carolina","45"," SC","7"
"South Dakota","46"," SD","7"
"Tennessee","47"," TN","7"
"Texas","48"," TX","7"
"Utah","49"," UT","7"
"Vermont","50"," VT","7"
"Virginia","51"," VA","7"
"Washington","53"," WA","7"
"West Virginia","54"," WV","7"
"Wisconsin","55"," WI","7"
"Wyoming","56"," WY","7"
